                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1819,                 3.8266,                 4.3219,                0.00377,                0.83333,                0.01074,                0.00333,                 2.7766,                 3.6726,                 4.1589,                  4e-05,                  4e-05,                  4e-05
                      2,                 3.0451,                 3.6718,                  4.316,                0.00388,                0.83333,                0.01178,                0.00335,                 2.7765,                 3.6726,                 4.1587,             9.9604e-05,             9.9604e-05,             9.9604e-05
                      3,                 3.0761,                 3.6552,                 4.3361,                0.00376,                0.83333,                 0.0301,                0.00709,                 2.7801,                 3.6659,                 4.1582,             0.00015873,             0.00015873,             0.00015873
                      4,                 3.2238,                 3.5747,                 4.2784,                0.00384,                0.83333,                0.03032,                0.00767,                 2.7797,                 3.6637,                 4.1578,             0.00021739,             0.00021739,             0.00021739
                      5,                 2.9094,                 3.4289,                  4.254,                 0.0039,                0.83333,                0.02304,                0.00583,                 2.7796,                 3.6604,                 4.1575,             0.00027556,             0.00027556,             0.00027556
                      6,                 3.1905,                 3.4456,                 4.1917,                0.00386,                0.83333,                 0.0141,                0.00417,                 2.7798,                 3.6578,                 4.1573,             0.00033327,             0.00033327,             0.00033327
                      7,                 3.0141,                 3.2805,                 4.1284,                0.00392,                0.83333,                 0.0144,                0.00383,                 2.7803,                 3.6525,                 4.1575,              0.0003905,              0.0003905,              0.0003905
                      8,                 2.9597,                  3.395,                 4.1277,                0.00393,                0.83333,                0.01396,                0.00397,                 2.7765,                 3.6555,                 4.1578,             0.00044725,             0.00044725,             0.00044725
                      9,                 2.9833,                 3.3662,                 4.1164,                0.00389,                0.83333,                0.01564,                0.00435,                 2.7765,                 3.6507,                 4.1588,             0.00050353,             0.00050353,             0.00050353
                     10,                 3.0776,                  3.321,                 4.0675,                0.00388,                0.83333,                0.01411,                0.00412,                 2.7765,                 3.6457,                 4.1601,             0.00055933,             0.00055933,             0.00055933
                     11,                 3.0429,                 3.2859,                 4.0308,                0.00384,                0.83333,                0.01129,                0.00329,                  2.775,                 3.6314,                 4.1643,             0.00061466,             0.00061466,             0.00061466
                     12,                 3.0123,                 3.0971,                 3.9573,                0.00384,                0.83333,                0.00955,                0.00283,                 2.7744,                 3.6277,                 4.1683,             0.00066951,             0.00066951,             0.00066951
                     13,                 3.1331,                 3.3148,                 4.0156,                0.00383,                0.83333,                 0.0092,                0.00274,                 2.7822,                 3.6084,                   4.18,             0.00072388,             0.00072388,             0.00072388
                     14,                 2.8311,                 3.2374,                 3.8862,                0.00383,                0.83333,                0.00927,                0.00278,                 2.7878,                 3.6102,                 4.1873,             0.00077779,             0.00077779,             0.00077779
                     15,                 2.9169,                 3.0832,                  3.875,                0.00385,                0.83333,                0.00944,                0.00283,                 2.7947,                 3.6014,                 4.2057,             0.00083121,             0.00083121,             0.00083121
                     16,                 2.8426,                 3.0961,                 3.8031,                0.00384,                0.83333,                0.00934,                0.00283,                 2.8026,                 3.5917,                   4.22,             0.00088416,             0.00088416,             0.00088416
                     17,                 2.9537,                 3.0696,                 3.7674,                0.00381,                0.83333,                0.00895,                0.00268,                 2.8119,                 3.5984,                 4.2473,             0.00093664,             0.00093664,             0.00093664
                     18,                 2.8005,                 3.0251,                 3.6793,                 0.0038,                0.83333,                 0.0095,                0.00275,                 2.8147,                 3.6096,                  4.264,             0.00098864,             0.00098864,             0.00098864
                     19,                 2.7539,                  3.024,                 3.6865,                0.00384,                0.83333,                0.00973,                0.00286,                 2.8159,                 3.6173,                 4.2841,              0.0010402,              0.0010402,              0.0010402
                     20,                 3.0151,                 3.0045,                 3.6703,                0.00384,                0.83333,                0.01082,                0.00313,                 2.8135,                 3.6178,                 4.2985,              0.0010912,              0.0010912,              0.0010912
                     21,                 2.8546,                 2.9809,                 3.5742,                0.00391,                   0.85,                0.01164,                0.00336,                 2.8208,                 3.6153,                 4.3152,              0.0011418,              0.0011418,              0.0011418
                     22,                 2.7715,                 3.0673,                  3.594,                0.00397,                0.86667,                0.01186,                0.00345,                 2.8325,                 3.6147,                  4.318,              0.0011919,              0.0011919,              0.0011919
                     23,                 2.6902,                 2.9079,                 3.4861,                0.00402,                   0.85,                0.01105,                0.00321,                 2.8558,                 3.6106,                 4.3244,              0.0012415,              0.0012415,              0.0012415
                     24,                 2.8004,                 2.8698,                  3.556,                0.00411,                0.86667,                0.01112,                0.00317,                 2.8835,                 3.6697,                 4.3606,              0.0012907,              0.0012907,              0.0012907
                     25,                 2.7083,                 2.9575,                 3.4997,                0.00408,                0.86667,                0.00743,                0.00214,                 2.8969,                 3.7725,                 4.4523,              0.0013393,              0.0013393,              0.0013393
                     26,                 2.6906,                 2.8065,                  3.373,                0.00383,                0.81667,                0.01243,                0.00375,                 2.8596,                   3.76,                 4.4744,              0.0013875,              0.0013875,              0.0013875
                     27,                 2.6654,                 2.8435,                 3.2771,                 0.0071,                   0.55,                0.01207,                0.00344,                   2.83,                 3.7132,                 4.4744,              0.0014353,              0.0014353,              0.0014353
                     28,                 2.7492,                 2.8586,                 3.4107,                0.00672,                0.56667,                0.15103,                0.04049,                 2.8139,                 3.7269,                 4.4321,              0.0014825,              0.0014825,              0.0014825
                     29,                  2.603,                 2.9268,                 3.3392,                0.00672,                0.56667,                0.15103,                0.04049,                 2.8139,                 3.7269,                 4.4321,              0.0015293,              0.0015293,              0.0015293
                     30,                  2.708,                 2.8658,                 3.4136,                0.00731,                0.56667,                0.14746,                0.04391,                 2.8039,                 3.7794,                 4.3627,              0.0015756,              0.0015756,              0.0015756
                     31,                 2.8495,                 2.9398,                 3.4375,                0.00829,                0.58333,                0.12776,                0.04128,                 2.7746,                  3.847,                 4.3095,              0.0016214,              0.0016214,              0.0016214
                     32,                 2.6165,                 2.7707,                 3.3317,                0.00735,                0.56667,                0.11517,                0.03902,                 2.7876,                 3.7788,                 4.2851,              0.0016668,              0.0016668,              0.0016668
                     33,                 2.6149,                 2.8938,                 3.3739,                0.00735,                0.56667,                0.11517,                0.03902,                 2.7876,                 3.7788,                 4.2851,              0.0017116,              0.0017116,              0.0017116
                     34,                 2.4026,                 2.8734,                 3.2734,                0.00297,                0.68333,                 0.0731,                0.02822,                 2.7959,                 3.7958,                 4.1897,              0.0017386,              0.0017386,              0.0017386
                     35,                 2.6003,                 2.7519,                 3.2819,                0.00384,                0.88333,                0.01182,                0.00346,                 2.8283,                  3.803,                 4.1813,              0.0017386,              0.0017386,              0.0017386
                     36,                 2.6772,                 2.8131,                 3.2658,                0.00373,                    0.8,                 0.0072,                 0.0023,                 2.8159,                   3.74,                 4.3246,              0.0017307,              0.0017307,              0.0017307
                     37,                  2.508,                 2.8574,                 3.2494,                0.00373,                    0.8,                 0.0072,                 0.0023,                 2.8159,                   3.74,                 4.3246,              0.0017228,              0.0017228,              0.0017228
                     38,                 2.5586,                 2.7102,                 3.1946,                0.00337,                0.66667,                0.00611,                0.00153,                 2.7922,                 3.7543,                 4.3882,              0.0017149,              0.0017149,              0.0017149
                     39,                 2.4607,                 2.8589,                 3.2378,                0.00352,                    0.7,                0.00738,                0.00174,                 2.8476,                 3.7153,                 4.3921,               0.001707,               0.001707,               0.001707
                     40,                 2.5674,                    2.8,                 3.2131,                0.00355,                0.71667,                0.00864,                0.00215,                 2.8632,                 3.6669,                 4.4116,               0.001699,               0.001699,               0.001699
                     41,                 2.6027,                  2.848,                 3.2306,                0.00355,                0.71667,                0.00864,                0.00215,                 2.8632,                 3.6669,                 4.4116,              0.0016911,              0.0016911,              0.0016911
                     42,                  2.598,                 2.6328,                 3.1678,                0.00373,                0.81667,                0.01338,                0.00343,                 2.8186,                  3.621,                 4.3532,              0.0016832,              0.0016832,              0.0016832
                     43,                 2.7295,                 2.8967,                 3.2419,                 0.0599,                   0.05,                0.03437,                0.00981,                 2.7412,                 3.5897,                 4.2856,              0.0016753,              0.0016753,              0.0016753
                     44,                 2.6858,                 2.9118,                 3.1861,                0.19076,                0.11667,                0.06079,                0.01493,                 2.6132,                 3.5734,                 3.9986,              0.0016674,              0.0016674,              0.0016674
                     45,                 2.6513,                 2.8007,                 3.2107,                0.19076,                0.11667,                0.06079,                0.01493,                 2.6132,                 3.5734,                 3.9986,              0.0016594,              0.0016594,              0.0016594
                     46,                 2.6275,                 2.6026,                  3.065,                 0.1319,                   0.15,                0.06553,                0.01657,                 2.6207,                 3.6547,                 3.8742,              0.0016515,              0.0016515,              0.0016515
                     47,                 2.5887,                 2.8205,                 3.1488,                0.10749,                    0.2,                0.07911,                0.01958,                  2.576,                 3.9628,                  3.764,              0.0016436,              0.0016436,              0.0016436
                     48,                 2.6407,                 2.7232,                 3.1609,                0.15632,                0.08333,                0.08036,                0.02368,                 2.4874,                  4.634,                 3.6185,              0.0016357,              0.0016357,              0.0016357
                     49,                 2.4651,                  2.619,                 3.0542,                0.15632,                0.08333,                0.08036,                0.02368,                 2.4874,                  4.634,                 3.6185,              0.0016278,              0.0016278,              0.0016278
                     50,                 2.5361,                 2.7324,                 3.0722,                0.16044,                0.23333,                0.07874,                0.01983,                 2.4754,                 5.1913,                 3.6196,              0.0016198,              0.0016198,              0.0016198
                     51,                 2.3849,                 2.6028,                 2.9234,                0.11617,                0.18333,                0.08709,                0.01781,                 2.5921,                 10.733,                 3.9666,              0.0016119,              0.0016119,              0.0016119
                     52,                 2.5498,                 2.6235,                 3.0666,                0.10975,                0.36667,                0.09651,                0.02395,                 2.5592,                 11.721,                 3.8726,               0.001604,               0.001604,               0.001604
                     53,                 2.6717,                 2.8297,                 3.1505,                0.10975,                0.36667,                0.09651,                0.02395,                 2.5592,                 11.721,                 3.8726,              0.0015961,              0.0015961,              0.0015961
                     54,                 2.6275,                 2.6206,                 3.0984,                 0.2219,                0.33333,                 0.1602,                0.04833,                 2.4483,                 7.1164,                 3.9501,              0.0015882,              0.0015882,              0.0015882
                     55,                 2.5808,                 2.6884,                 3.1181,                0.24483,                   0.35,                 0.1936,                0.05679,                  2.526,                 5.0618,                 4.1014,              0.0015802,              0.0015802,              0.0015802
                     56,                 2.5474,                 2.6896,                 3.0662,                0.29217,                0.51667,                0.26756,                0.08175,                 2.4616,                 4.1121,                 3.7168,              0.0015723,              0.0015723,              0.0015723
                     57,                 2.5475,                 2.6605,                 3.0753,                0.29217,                0.51667,                0.26756,                0.08175,                 2.4616,                 4.1121,                 3.7168,              0.0015644,              0.0015644,              0.0015644
                     58,                 2.4818,                 2.5851,                 3.0357,                0.32822,                0.49676,                0.29546,                0.09472,                 2.4128,                 3.3236,                 3.3742,              0.0015565,              0.0015565,              0.0015565
                     59,                 2.4452,                 2.5967,                 3.0649,                0.35025,                   0.35,                0.27157,                 0.0967,                 2.3832,                 3.1036,                 3.2296,              0.0015486,              0.0015486,              0.0015486
                     60,                 2.5798,                 2.6618,                 3.0465,                0.23684,                0.26667,                 0.2334,                 0.0849,                  2.316,                 3.1746,                 3.2039,              0.0015406,              0.0015406,              0.0015406
                     61,                 2.4407,                 2.6728,                 3.0315,                0.23684,                0.26667,                 0.2334,                 0.0849,                  2.316,                 3.1746,                 3.2039,              0.0015327,              0.0015327,              0.0015327
                     62,                 2.5248,                 2.5703,                 3.0931,                0.21712,                0.33333,                0.16786,                0.05334,                  2.344,                 3.8919,                 3.3351,              0.0015248,              0.0015248,              0.0015248
                     63,                 2.3267,                 2.4803,                 2.9628,                0.17115,                0.31667,                0.12887,                0.03841,                 2.4376,                 9.5078,                 3.6351,              0.0015169,              0.0015169,              0.0015169
                     64,                 2.4946,                 2.6551,                 3.0692,                0.20491,                0.26667,                0.14792,                0.04842,                 2.4804,                 8.0902,                  3.685,               0.001509,               0.001509,               0.001509
                     65,                 2.5244,                 2.5164,                 3.0199,                0.20491,                0.26667,                0.14792,                0.04842,                 2.4804,                 8.0902,                  3.685,               0.001501,               0.001501,               0.001501
                     66,                 2.5533,                 2.7585,                 2.9992,                0.20059,                   0.25,                0.18542,                0.06508,                 2.6042,                 3.3483,                 3.6564,              0.0014931,              0.0014931,              0.0014931
                     67,                 2.5447,                 2.6205,                  2.962,                 0.1394,                   0.15,                 0.1179,                0.04601,                 2.5357,                 3.2679,                 3.5697,              0.0014852,              0.0014852,              0.0014852
                     68,                  2.501,                 2.6876,                  3.075,                0.34463,                0.33333,                0.28177,                0.12443,                 2.1993,                 3.2157,                 3.2205,              0.0014773,              0.0014773,              0.0014773
                     69,                 2.3248,                 2.4923,                 2.9097,                0.34463,                0.33333,                0.28177,                0.12443,                 2.1993,                 3.2157,                 3.2205,              0.0014694,              0.0014694,              0.0014694
                     70,                 2.3428,                 2.5839,                 3.0185,                0.47831,                    0.3,                0.34921,                0.13986,                 2.1764,                  3.248,                 3.0323,              0.0014614,              0.0014614,              0.0014614
                     71,                 2.5375,                 2.4924,                  3.037,                0.44353,                    0.3,                0.34274,                0.13837,                  2.236,                 3.8559,                 2.9726,              0.0014535,              0.0014535,              0.0014535
                     72,                 2.5241,                 2.4823,                 3.0138,                0.21876,                0.38333,                0.19708,                0.08466,                 2.2132,                 6.4521,                 2.9986,              0.0014456,              0.0014456,              0.0014456
                     73,                  2.399,                 2.4958,                 2.9141,                0.21876,                0.38333,                0.19708,                0.08466,                 2.2132,                 6.4521,                 2.9986,              0.0014377,              0.0014377,              0.0014377
                     74,                 2.2696,                  2.469,                  2.834,                0.36457,                   0.25,                0.23871,                0.09017,                 2.2973,                 5.6653,                 3.1469,              0.0014298,              0.0014298,              0.0014298
                     75,                 2.3961,                 2.4504,                 2.9031,                0.29846,                0.36667,                0.27551,                0.11368,                 2.2406,                 3.8948,                  3.132,              0.0014218,              0.0014218,              0.0014218
                     76,                 2.3235,                 2.4783,                 2.9356,                0.48649,                   0.45,                 0.4535,                0.18347,                 2.2168,                 3.1463,                 3.0346,              0.0014139,              0.0014139,              0.0014139
                     77,                 2.4274,                 2.5287,                 2.8968,                0.48649,                   0.45,                 0.4535,                0.18347,                 2.2168,                 3.1463,                 3.0346,               0.001406,               0.001406,               0.001406
                     78,                 2.3151,                 2.3653,                 2.9129,                0.33511,                0.51667,                0.41075,                0.17278,                   2.21,                 3.0893,                   2.92,              0.0013981,              0.0013981,              0.0013981
                     79,                 2.3188,                 2.3231,                 2.9238,                0.34227,                0.51667,                0.35612,                 0.1305,                 2.1814,                 3.1605,                 2.8622,              0.0013902,              0.0013902,              0.0013902
                     80,                 2.3528,                 2.4022,                 2.9276,                0.62462,                0.41667,                0.46867,                0.17356,                 2.1725,                  3.157,                 2.8699,              0.0013822,              0.0013822,              0.0013822
                     81,                 2.3448,                  2.287,                 2.8706,                0.62462,                0.41667,                0.46867,                0.17356,                 2.1725,                  3.157,                 2.8699,              0.0013743,              0.0013743,              0.0013743
                     82,                 2.3636,                 2.3154,                 2.9281,                0.40576,                    0.4,                0.34871,                0.14429,                 2.1947,                 4.1751,                 2.8889,              0.0013664,              0.0013664,              0.0013664
                     83,                 2.2819,                 2.2995,                 2.8472,                 0.4371,                   0.25,                0.27274,                 0.1144,                 2.2363,                  4.944,                 2.9716,              0.0013585,              0.0013585,              0.0013585
                     84,                  2.253,                 2.2197,                 2.8458,                0.34885,                0.20547,                0.20486,                0.08686,                 2.2779,                 5.5151,                 3.1769,              0.0013506,              0.0013506,              0.0013506
                     85,                 2.4197,                 2.3378,                 2.8937,                0.34885,                0.20547,                0.20486,                0.08686,                 2.2779,                 5.5151,                 3.1769,              0.0013426,              0.0013426,              0.0013426
                     86,                  2.273,                 2.2794,                 2.8338,                0.41459,                0.18333,                0.20491,                0.07088,                 2.3523,                 5.5578,                 3.2945,              0.0013347,              0.0013347,              0.0013347
                     87,                 2.3799,                 2.3153,                 2.8445,                0.50042,                   0.35,                 0.3609,                0.13647,                 2.2872,                 3.7992,                 3.0805,              0.0013268,              0.0013268,              0.0013268
                     88,                 2.2424,                 2.1882,                 2.8353,                0.43416,                0.68333,                0.51828,                0.17918,                 2.1299,                 2.6355,                 2.8553,              0.0013189,              0.0013189,              0.0013189
                     89,                 2.3074,                 2.2946,                 2.8906,                0.43416,                0.68333,                0.51828,                0.17918,                 2.1299,                 2.6355,                 2.8553,               0.001311,               0.001311,               0.001311
                     90,                 2.4034,                 2.3558,                 2.8529,                0.54049,                0.58333,                0.61569,                 0.2015,                 2.1119,                 3.2318,                 2.9141,               0.001303,               0.001303,               0.001303
                     91,                 2.2129,                 2.3263,                 2.7619,                0.46018,                 0.6394,                0.58286,                0.17234,                 2.2053,                 4.2409,                 2.9798,              0.0012951,              0.0012951,              0.0012951
                     92,                 2.2642,                 2.3891,                 2.9063,                0.47174,                0.63333,                 0.5419,                0.19731,                 2.1428,                 3.5497,                 2.8907,              0.0012872,              0.0012872,              0.0012872
                     93,                 2.3657,                 2.4598,                 2.8773,                0.47174,                0.63333,                 0.5419,                0.19731,                 2.1428,                 3.5497,                 2.8907,              0.0012793,              0.0012793,              0.0012793
                     94,                 2.2233,                 2.3584,                 2.8061,                0.45559,                   0.55,                0.53336,                0.19901,                 2.0671,                 2.6992,                 2.8147,              0.0012714,              0.0012714,              0.0012714
                     95,                 2.1044,                 2.2954,                 2.7416,                0.51421,                   0.45,                0.47635,                0.15431,                 2.2372,                 2.3928,                 3.0207,              0.0012634,              0.0012634,              0.0012634
                     96,                 2.1661,                 2.1993,                  2.783,                0.61615,                0.43333,                0.43734,                0.10694,                 2.3609,                 2.4469,                 3.1896,              0.0012555,              0.0012555,              0.0012555
                     97,                 2.2585,                  2.304,                 2.8223,                0.61615,                0.43333,                0.43734,                0.10694,                 2.3609,                 2.4469,                 3.1896,              0.0012476,              0.0012476,              0.0012476
                     98,                 2.1497,                 2.1374,                 2.7732,                 0.5681,                0.39469,                0.36874,                 0.1005,                 2.3852,                 2.5487,                 3.2919,              0.0012397,              0.0012397,              0.0012397
                     99,                 2.3074,                 2.3916,                 2.8064,                0.51811,                    0.5,                0.49395,                0.16626,                 2.3435,                 2.3117,                 3.0847,              0.0012318,              0.0012318,              0.0012318
                    100,                 2.3383,                 2.3168,                 2.8449,                0.62815,                0.68333,                0.66971,                0.31278,                 2.0808,                  1.962,                 2.8047,              0.0012238,              0.0012238,              0.0012238
                    101,                 2.1395,                  2.029,                 2.7475,                0.62815,                0.68333,                0.66971,                0.31278,                 2.0808,                  1.962,                 2.8047,              0.0012159,              0.0012159,              0.0012159
                    102,                  2.213,                 2.1936,                 2.7805,                0.79627,                0.65143,                0.77502,                0.31946,                 2.0781,                 1.9208,                 2.7639,               0.001208,               0.001208,               0.001208
                    103,                 2.1157,                 2.1152,                 2.6873,                0.74722,                0.73333,                0.76936,                0.34887,                  1.978,                 1.8491,                 2.6649,              0.0012001,              0.0012001,              0.0012001
                    104,                 2.1659,                 2.0809,                 2.7374,                0.61144,                0.55078,                 0.6433,                0.26278,                 2.1273,                 2.1938,                 2.7908,              0.0011922,              0.0011922,              0.0011922
                    105,                 2.1441,                 2.2158,                 2.7165,                0.61144,                0.55078,                 0.6433,                0.26278,                 2.1273,                 2.1938,                 2.7908,              0.0011842,              0.0011842,              0.0011842
                    106,                  2.161,                 2.1133,                 2.7403,                0.47264,                0.43318,                0.43805,                0.15616,                 2.3875,                  3.227,                  3.248,              0.0011763,              0.0011763,              0.0011763
                    107,                 2.0864,                 2.1719,                 2.7027,                 0.7781,                0.31667,                0.44545,                0.17721,                 2.3038,                 2.9641,                   3.12,              0.0011684,              0.0011684,              0.0011684
                    108,                 2.1728,                 2.2459,                 2.7959,                0.56638,                    0.6,                0.61422,                0.24524,                 2.1308,                 2.1464,                 2.7806,              0.0011605,              0.0011605,              0.0011605
                    109,                 2.2321,                 2.0715,                 2.7592,                0.56638,                    0.6,                0.61422,                0.24524,                 2.1308,                 2.1464,                 2.7806,              0.0011526,              0.0011526,              0.0011526
